Contiguous U.S., Average Temperature, January-December
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
189512,50.34,-1.68
189612,51.99,-0.03
189712,51.56,-0.46
189812,51.43,-0.59
189912,51.01,-1.01
190012,52.77,0.75
190112,51.87,-0.15
190212,51.59,-0.43
190312,50.62,-1.4
190412,51.16,-0.86
190512,51,-1.02
190612,51.73,-0.29
190712,51.48,-0.54
190812,52.08,0.06
190912,51.43,-0.59
191012,52.42,0.4
191112,52.03,0.01
191212,50.23,-1.79
191312,51.54,-0.48
191412,51.84,-0.18
191512,51.45,-0.57
191612,50.85,-1.17
191712,50.06,-1.96
191812,51.87,-0.15
191912,51.55,-0.47
192012,51.07,-0.95
192112,53.8,1.78
192212,52.03,0.01
192312,51.64,-0.38
192412,50.59,-1.43
192512,52.52,0.5
192612,51.95,-0.07
192712,52.15,0.13
192812,51.92,-0.1
192912,50.85,-1.17
193012,51.98,-0.04
193112,53.54,1.52
193212,51.73,-0.29
193312,52.99,0.97
193412,54.1,2.08
193512,51.9,-0.12
193612,52.15,0.13
193712,51.55,-0.47
193812,53.18,1.16
193912,53.26,1.24
194012,51.89,-0.13
194112,52.66,0.64
194212,51.84,-0.18
194312,52.07,0.05
194412,51.83,-0.19
194512,51.75,-0.27
194612,52.95,0.93
194712,51.92,-0.1
194812,51.61,-0.41
194912,52.02,0
195012,51.39,-0.63
195112,51.12,-0.9
195212,52.27,0.25
195312,53.37,1.35
195412,53.33,1.31
195512,51.69,-0.33
195612,52.34,0.32
195712,52.04,0.02
195812,51.93,-0.09
195912,52.1,0.08
196012,51.44,-0.58
196112,51.87,-0.15
196212,51.9,-0.12
196312,52.26,0.24
196412,51.67,-0.35
196512,51.69,-0.33
196612,51.49,-0.53
196712,51.76,-0.26
196812,51.32,-0.7
196912,51.5,-0.52
197012,51.61,-0.41
197112,51.66,-0.36
197212,51.37,-0.65
197312,52.29,0.27
197412,52.26,0.24
197512,51.5,-0.52
197612,51.47,-0.55
197712,52.55,0.53
197812,51.04,-0.98
197912,50.88,-1.14
198012,52.39,0.37
198112,53.12,1.1
198212,51.34,-0.68
198312,51.88,-0.14
198412,51.97,-0.05
198512,51.3,-0.72
198612,53.32,1.3
198712,53.33,1.31
198812,52.63,0.61
198912,51.84,-0.18
199012,53.51,1.49
199112,53.16,1.14
199212,52.6,0.58
199312,51.26,-0.76
199412,52.87,0.85
199512,52.65,0.63
199612,51.88,-0.14
199712,52.2,0.18
199812,54.23,2.21
199912,53.88,1.86
200012,53.27,1.25
200112,53.69,1.67
200212,53.21,1.19
200312,53.26,1.24
200412,53.1,1.08
200512,53.64,1.62
200612,54.25,2.23
200712,53.65,1.63
200812,52.29,0.27
200912,52.39,0.37
201012,52.98,0.96
201112,53.18,1.16
201212,55.28,3.26
201312,52.43,0.41
201412,52.54,0.52
201512,54.4,2.38
201612,54.92,2.9
201712,54.55,2.53
201812,53.52,1.5
201912,52.67,0.65
